Year,cheese,red meat
1970,8.024935769,96.75207833
1971,8.475625383,99.13369218
1972,9.108025115,96.70933195
1973,9.411519948,89.40500403
1974,10.02793115,95.71392849
1975,9.890552747,92.37131491
1976,10.75702964,98.02225423
1977,11.1233274,97.12412051
1978,11.64254166,93.54274089
1979,11.83146668,90.74925587
1980,12.00171587,91.98270823
1981,12.45083534,91.12363084
1982,13.8197712,87.52981646
1983,14.33004815,90.45698654
1984,14.99555337,90.23039591
1985,15.71113668,91.10979272
1986,16.00670391,89.25367284
1987,16.78610583,85.61745457
1988,16.2805077,87.01553902
1989,16.19237761,84.02801606
1990,16.61195306,81.65190861
1991,16.82225461,81.09646414
1992,17.31679732,82.32741153
1993,17.35414747,80.73489587
1994,17.64947065,82.46252497
1995,17.69663572,82.55113342
1996,17.81491617,80.83592433
1997,17.97232083,79.36275533
1998,18.19832153,82.40416542
1999,19.01916665,83.62091198
2000,19.32202909,82.73006468
2001,19.58084651,81.10905699
2002,19.73439481,82.98897155
2003,19.68456824,81.19491263
2004,20.22882997,81.60690156
2005,20.3792986,80.17446103
2006,20.92918523,80.02928804
2007,21.16463367,80.38178077
2008,20.94768217,77.36225256
2009,21.02543103,76.76290855
2010,21.33678053,74.15419811
2011,21.50641464,71.01974302
2012,21.56841889,71.2396546
2013,21.62372654,71.15437258
2014,22.11744576,68.9798544
2015,22.75561413,71.39706497
2016,23.59266632,72.78190422
2017,24.06633858,73.90658574
2018,24.70258118,74.57146736
2019,24.85792609,75.97955701
2020,24.56458194,
2021,25.26433934,
