Year,Lbs/year,Oz/day,G/day
1970,107.7215419,4.722040193,133.8674785
1971,110.5510152,4.846071898,137.3837153
1972,105.7096362,4.633847068,131.3672474
1973,108.2026083,4.743128036,134.4653083
1974,108.9935363,4.77779885,135.4482085
1975,115.6270794,5.068584302,143.6918307
1976,116.3510706,5.100320903,144.5915474
1977,117.7356921,5.161016642,146.3122413
1978,116.2649458,5.096545571,144.4845187
1979,116.0835341,5.088593277,144.2590751
1980,122.8434273,5.384917361,152.6597147
1981,118.1348896,5.178515709,146.8083311
1982,119.0416763,5.218265261,147.935211
1983,130.7860495,5.733087103,162.5301528
1984,123.269,5.403572605,153.1885816
1985,125.2022409,5.488317409,155.5910544
1986,129.5759172,5.680040206,161.0262998
1987,132.558189,5.810769928,164.7324221
1988,128.3746462,5.627381751,159.533459
1989,132.3862396,5.803232422,164.5187376
1990,127.4300155,5.585973283,158.3595496
1991,127.7465156,5.599847257,158.7528698
1992,131.1947762,5.751003889,163.0380848
1993,136.9404284,6.002868092,170.178309
1994,138.8926991,6.088447083,172.6044306
1995,132.787492,5.820821569,165.0173811
1996,136.6346051,5.989462142,169.798257
1997,139.1449393,6.099504191,172.9178941
1998,141.2007732,6.189622933,175.4727153
1999,143.503629,6.290570038,178.3345153
2000,138.8607414,6.087046196,172.5647161
2001,134.7530175,5.906981587,167.4599745
2002,133.2647291,5.841741551,165.6104521
2003,134.6794695,5.903757567,167.3685752
2004,135.2962353,5.930793877,168.135041
2005,130.4331438,5.717617264,162.0915906
2006,129.6814963,5.68466833,161.1575048
2007,127.8019598,5.602277691,158.8217714
2008,123.7988663,5.42679962,153.8470558
2009,122.5054023,5.370099828,152.2396451
2010,121.7547667,5.337195252,151.3068168
2011,118.1493066,5.179147686,146.8262473
2012,114.3563166,5.012879632,142.1126311
2013,119.1927977,5.224889761,148.1230123
2014,116.7714151,5.118746963,145.113917
2015,116.3712905,5.101207253,144.616675
2016,116.6230861,5.112244868,144.9295859
2017,114.0297417,4.99856402,141.7067907
2018,110.8582858,4.859541297,137.765566
2019,109.0494754,4.780250976,135.5177251
2020,105.8264072,4.638965794,131.5123608
2021,108.894239,4.773446091,135.32481
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
