"age","gender","ethnicity","education","household_income","height_feet","height_inches","weight","k1","k2","k3","k4","k5","d1","d2","d3","d4","d5","height","bmi","k1_score","k2_score","k3_score","k4_score","k5_score","d1_score","d2_score","d3_score","d4_score","d5_score","k_number_total","d_number_total","k_label_total","d_label_total"
"44-59","Male","Black or African-American","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,11,250,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month",71,34.864114263043,10,0,0,10,NA,10,10,10,10,20,NA,60,"Poor","Moderate"
"44-59","Female","White","Bachelor degree","$40,000-74,000",5,2,320,"Agree","Not sure","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","3 to 5 times a month","At least once daily",62,58.522372528616,10,0,0,10,NA,0,0,20,20,0,NA,40,"Poor","Poor"
"60-73","Female","White","Associate degree","$75,000-99,000",5,4,180,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",64,30.8935546875,10,0,0,10,NA,0,0,30,30,10,NA,70,"Poor","Moderate"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,4,125,"Not sure","Not sure","Nothing","Processed foods","None of the above","Yes","At least once daily","3 to 5 times a week","Once a month or less","At least once daily",64,21.453857421875,0,0,10,10,10,10,0,10,30,0,30,50,"Moderate","Poor"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,7,140,"Agree","Do not have a significant impact on nutritional value","Nothing","Processed foods","None of the above","No","At least once daily","Once a month or less","Once a month or less","At least once daily",67,21.9247048340388,10,0,10,10,10,0,0,30,30,0,40,60,"Satisfactory","Moderate"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,3,89,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Processed foods","None of the above","Yes","Once a month or less","At least once daily","Once a month or less","3 to 5 times a month",63,15.763920382968,10,0,10,10,10,10,30,0,30,20,40,90,"Satisfactory","Satisfactory"
"60-73","Female","White","Some college but no degree","$75,000-99,000",5,4,105,"Agree","Not sure","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","3 to 5 times a month","3 to 5 times a week",64,18.021240234375,10,0,0,5,5,0,0,30,20,10,20,60,"Moderate","Moderate"
"60-73","Female","Black or African-American","Some college but no degree","Less than $40,000",5,2,160,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","Once a month or less","At least once daily",62,29.261186264308,0,0,0,0,NA,0,0,30,30,0,NA,60,"Poor","Moderate"
"28-43","Female","Hispanic","Bachelor degree","$100,000-149,000",5,3,253,"Agree","Do not have a significant impact on nutritional value","Ingredients were sourced locally","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","3 to 5 times a month","3 to 5 times a week","At least once daily",63,44.8120433358529,10,0,0,5,NA,10,0,20,10,0,NA,40,"Poor","Poor"
"28-43","Male","White","Graduate degree","$100,000-149,000",5,3,190,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","3 to 5 times a week","At least once daily","At least once daily",63,33.6533131771227,10,0,0,5,NA,10,0,10,0,0,NA,20,"Poor","Poor"
"28-43","Male","White","Bachelor degree","$40,000-74,000",5,4,140,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","Once a month or less","At least once daily",64,24.0283203125,10,0,0,5,NA,0,10,20,30,0,NA,60,"Poor","Moderate"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,7,170,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","Once a month or less",67,26.6228558699042,10,0,0,5,5,0,30,30,30,30,20,120,"Moderate","Excellent"
"28-43","Male","White","Graduate degree","$150,000-250,000",6,5,150,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","At least once daily",77,17.7854612919548,10,0,0,5,NA,10,10,10,10,0,NA,40,"Poor","Poor"
